  1.290601  -0.339137
  1.278145  -0.353509
  1.265689  -0.368150
  1.253233  -0.382981
  1.240777  -0.397898
  1.228321  -0.412770
  1.215865  -0.427435
  1.203409  -0.441687
  1.190953  -0.455273
  1.178496  -0.467882
  1.166040  -0.479130
  1.153584  -0.488548
  1.141128  -0.495561
  1.128672  -0.499470
  1.116216  -0.499420
  1.103760  -0.494375
  1.091304  -0.483070
  1.078848  -0.463971
  1.066392  -0.435211
  1.053936  -0.394521
  1.041480  -0.339141
  1.053936  -0.394521
  1.066392  -0.435211
  1.078848  -0.463971
  1.091304  -0.483070
  1.103760  -0.494375
  1.116216  -0.499420
  1.128672  -0.499470
  1.141128  -0.495561
  1.153584  -0.488548
  1.166040  -0.479130
  1.178496  -0.467882
  1.190953  -0.455273
  1.203409  -0.441687
  1.215865  -0.427435
  1.228321  -0.412770
  1.240777  -0.397898
  1.253233  -0.382981
  1.265689  -0.368150
  1.278145  -0.353509
